name,review,address,other_locations,phone,website,full_address,latitude,longitude,image
Ray's Drive Inn,http://www.expressnews.com/food/article/365-Days-of-Tacos-Ray-s-Drive-Inn-10827234.php,822 SW 19th St.,None,210-338-8421,https://www.facebook.com/RaysDriveInn/,"822 SW 19th St., San Antonio, Texas",29.420786,-98.536921,http://ww4.hdnux.com/photos/56/16/34/12117771/14/920x920.jpg
Taco Haven,http://www.expressnews.com/food/article/365-Days-of-Tacos-Taco-Haven-10840839.php,1032 S. Presa St.,None,210-533-2171,http://tacohavensouthtown.com/,"1032 S. Presa St., San Antonio, Texas",29.4101,-98.486713,http://ww2.hdnux.com/photos/56/26/33/12150505/20/920x920.jpg
El Milagrito,http://www.expressnews.com/food/article/365-Days-of-Tacos-El-Milagrito-10856959.php ,521 E. Woodlawn Avenue,None,210-737-8646,http://www.elmilagritocafe.com/,"521 E. Woodlawn Avenue, San Antonio, Texas",29.452638,-98.485099,http://ww4.hdnux.com/photos/56/37/45/12188023/8/920x920.jpg
Tia's Taco Hut,http://www.expressnews.com/food/article/365-Days-of-Tacos-Tia-s-Taco-Hut-10862808.php,6820 Huebner Road,5730 Babcock Road; 405 Pat Booker Road,210-680-8646,http://www.tiastacohut.com/home.html,"6820 Huebner Road, San Antonio, Texas",29.498184,-98.623376,http://ww4.hdnux.com/photos/56/43/37/12203999/7/920x920.jpg
Little Taco Factory,http://www.expressnews.com/food/article/365-Days-of-Tacos-Little-Taco-Factory-2-10867354.php,1510 McCullough Ave.,None,210-227-5657,https://www.facebook.com/The-Little-Taco-Factory-Mexican-Restaurant-117834104910145/,"1510 McCullough Ave., San Antonio, Texas",29.443153,-98.491632,http://ww3.hdnux.com/photos/56/46/31/12215894/16/920x920.jpg
El Buen Gusto Mexican Cafe,http://www.expressnews.com/food/article/365-Days-of-Tacos-El-Buen-Gusto-Mexican-Cafe-10870532.php,7709 Tezel Road,None,210-681-1773,https://www.facebook.com/El-Buen-Gusto-Mexican-Cafe-200004776716988/,"7709 Tezel Road, San Antonio, Texas",29.512319,-98.662518,http://ww3.hdnux.com/photos/56/50/13/12223198/12/920x920.jpg
Tacos Y Burritos Metro Basilica #2,http://www.expressnews.com/food/article/365-Days-of-Tacos-Tacos-Y-Burritos-Metro-10878008.php,"7627 Culebra Road, Suite 105",None,210-680-1412,https://www.facebook.com/tacosyburritosmetrobasilica2/,"7627 Culebra Road, Suite 105, San Antonio, Texas",29.460526,-98.63926,#N/A
Mendez Cafe,http://www.expressnews.com/food/article/365-Days-of-Tacos-Mendez-Cafe-10889509.php,201 Bartholomew Ave.,None,210-923-6603,None,"201 Bartholomew Ave., San Antonio, Texas",29.370037,-98.558013,http://ww2.hdnux.com/photos/56/62/66/12266929/11/920x920.jpg
Paloma Blanca Mexican Cuisine,http://www.expressnews.com/food/article/365-Days-of-Tacos-Paloma-Blanca-Mexican-Cuisine-10911960.php,"5800 Broadway, #300",None,210-822-6151,http://palomablanca.net/,"5800 Broadway, #300, San Antonio, Texas",29.479734,-98.464428,http://ww3.hdnux.com/photos/57/00/47/12323270/5/920x920.jpg
Don Jose Mexican Cafe,http://www.expressnews.com/food/article/365-Days-of-Tacos-Don-Jose-Mexican-Cafe-10929633.php ,955 Pleasanton Road,None,210-921-6080,None,"955 Pleasanton Road, San Antonio, Texas",29.374842,-98.504613,http://ww3.hdnux.com/photos/57/13/05/12366146/8/920x920.jpg
Claudia's Restaurant,http://www.expressnews.com/food/article/365-Days-of-Tacos-Claudia-s-Restaurant-10931866.php ,1305 Pleasanton Road,None,210-362-1204,https://www.facebook.com/claudias.restaurant/ ,"1305 Pleasanton Road, San Antonio, Texas",29.371181,-98.504468,http://ww2.hdnux.com/photos/57/14/07/12370429/5/920x920.jpg
The Original Donut Shop,http://www.expressnews.com/food/article/365-Days-of-Tacos-The-Original-Donut-Shop-10963356.php,3307 Fredericksburg Road,None,210-734-5661,https://www.facebook.com/theoriginaldonutshop/,"3307 Fredericksburg Road, San Antonio, Texas",29.47258,-98.534622,http://ww1.hdnux.com/photos/57/41/50/12458516/9/920x920.jpg
Alejandro's Mexican Restaurant,http://www.expressnews.com/food/article/365-Days-of-Tacos-Alejandro-s-Mexican-10966259.php,1523 W. Commerce St.,None,210-271-7270,https://www.facebook.com/AlejandrosMexicanRestaurant,"1523 W. Commerce St., San Antonio, Texas",29.426938,-98.511978,http://ww3.hdnux.com/photos/57/42/74/12463934/3/920x920.jpg
Danny's Cocina Mexicana,http://www.expressnews.com/food/article/365-Days-of-Tacos-Danny-s-Cocina-Mexicana-10983931.php,6031 Callaghan Road,None,210-647-4510,https://www.facebook.com/dannyscocinacallaghanroad/,"6031 Callaghan Road, San Antonio, Texas",29.488278,-98.575586,http://ww3.hdnux.com/photos/57/55/34/12506902/6/920x920.jpg
Taqueria Los Arcos,http://www.expressnews.com/food/article/365-Days-of-Tacos-Taquer-a-Los-Arcos-10997823.php,13777 Nacogdoches Road,None,210-599-1822,None,"13777 Nacogdoches Road, San Antonio, TX",29.566448,-98.388164,http://ww4.hdnux.com/photos/57/65/31/12539463/4/920x920.jpg
Mittman Fine Foods,http://www.expressnews.com/food/article/365-Days-of-Tacos-Mittman-Fine-Foods-11015471.php,1125 S. Mittman St.,None,210-532-3318,None,"1125 S. Mittman St., San Antonio, Texas",29.408143,-98.454713,http://ww4.hdnux.com/photos/57/77/75/12582775/3/920x920.jpg
Los Campos Dos Hermanos,http://www.expressnews.com/food/article/365-Days-of-Tacos-Los-Campos-Dos-Hermanos-11026382.php,7236 W. Military Drive,None,210-674-3800,None,"7236 W. Military Drive, San Antonio, Texas",29.413312,-98.628914,http://ww4.hdnux.com/photos/60/06/05/12607843/4/920x920.jpg
Taco Taco Cafe,http://www.expressnews.com/food/article/365-Days-of-Tacos-Taco-Taco-Cafe-11050453.php  ,145 E. Hildebrand Ave.,None,210-822-9533,tacotacosa.com,"145 E. Hildebrand Ave., San Antonio, Texas",29.466657,-98.492271,http://ww2.hdnux.com/photos/60/24/54/12667709/4/920x920.jpg
Karolina's Mexican Food,http://www.expressnews.com/food/article/365-Days-of-Tacos-Karolina-s-Mexican-Food-11063533.php,11510 U.S. 281 S.,None,210-973-5910,https://www.facebook.com/karolinasmexicanfood/,"11510 U.S. 281 S., San Antonio, Texas",29.307328,-98.473179,http://ww4.hdnux.com/photos/60/34/32/12699327/3/920x920.jpg
Taquitos West Ave.,http://www.expressnews.com/food/article/365-Days-of-Tacos-Taquitos-West-Ave-11072197.php,2818 West Ave.,None,210-525-9888,taquitoswestavenue.com,"2818 West Ave., San Antonio, Texas",29.486364,-98.525731,http://ww4.hdnux.com/photos/60/40/71/12717683/5/920x920.jpg
El Paraiso de Jalisco,http://www.expressnews.com/food/article/365-Days-of-Tacos-El-Paraiso-de-Jalisco-11092038.php,7850 S. Loop 1604 W.,None,830-429-3478,None,"7850 S. Loop 1604 W., San Antonio, Texas",29.231426,-98.654256,http://ww2.hdnux.com/photos/60/57/12/12776113/3/920x920.jpg
Mi Ranchito,http://www.expressnews.com/food/article/365-Days-of-Tacos-Mi-Ranchito-11116534.php,2526 Culebra Road,None,210-908-9116,None,"2526 Culebra Road, San Antonio, Texas",29.447136,-98.548499,http://ww2.hdnux.com/photos/60/75/17/12833761/3/920x920.jpg
